release,release_kind,release_date,other_share,other_weighted_churn_points,total_weighted_churn_points,top_paths
rust-v0.93.0-alpha.9,prerelease,2026-01-28T23:33:24-08:00,0.625,70.0,112.0,PNPM.md (70)
rust-v0.93.0-alpha.25,prerelease,2026-01-30T18:58:05-08:00,0.229,358.0,1563.3,codex-rs/file-search/src/lib.rs (210); codex-rs/utils/home-dir/src/lib.rs (128); codex-rs/network-proxy/src/state.rs (14); codex-rs/file-search/src/main.rs (4); announcement_tip.toml (2)
rust-v0.94.0-alpha.11,prerelease,2026-02-02T13:33:55Z,0.1306,298.0,2281.42,codex-rs/codex-experimental-api-macros/src/lib.rs (293); codex-rs/debug-client/src/client.rs (4); codex-rs/utils/cargo-bin/src/lib.rs (1)
rust-v0.94.0,stable,2026-02-02T09:44:09-08:00,0.1306,298.0,2281.42,codex-rs/codex-experimental-api-macros/src/lib.rs (293); codex-rs/debug-client/src/client.rs (4); codex-rs/utils/cargo-bin/src/lib.rs (1)
rust-v0.95.0-alpha.1,prerelease,2026-02-02T13:02:34-08:00,0.0789,298.0,3774.7,codex-rs/codex-experimental-api-macros/src/lib.rs (293); codex-rs/debug-client/src/client.rs (4); codex-rs/utils/cargo-bin/src/lib.rs (1)
rust-v0.95.0-alpha.6,prerelease,2026-02-03T11:32:56Z,0.0648,762.0,11752.5,codex-rs/secrets/src/local.rs (411); codex-rs/secrets/src/lib.rs (243); codex-rs/ollama/src/lib.rs (62); codex-rs/common/src/oss.rs (39); codex-rs/ollama/src/client.rs (7)
rust-v0.95.0-alpha.8,prerelease,2026-02-03T22:04:05Z,0.1397,141.0,1009.5,codex-rs/arg0/src/lib.rs (141)
rust-v0.99.0-alpha.6,prerelease,2026-02-06T11:12:10-08:00,0.1406,315.0,2239.9,codex-rs/network-proxy/src/http_proxy.rs (120); codex-rs/network-proxy/src/responses.rs (103); codex-rs/network-proxy/src/socks5.rs (92)
rust-v0.99.0-alpha.7,prerelease,2026-02-06T22:02:25-08:00,0.1133,458.0,4042.5,codex-rs/network-proxy/src/state.rs (185); codex-rs/network-proxy/src/runtime.rs (157); codex-rs/network-proxy/src/config.rs (60); codex-rs/utils/pty/src/process_group.rs (27); AGENTS.md (15); codex-rs/network-proxy/src/proxy.rs (10); codex-rs/network-proxy/src/http_proxy.rs (4)
rust-v0.99.0-alpha.10,prerelease,2026-02-09T11:25:58Z,0.0868,597.0,6876.28,codex-rs/network-proxy/src/state.rs (244); codex-rs/network-proxy/src/runtime.rs (123); codex-rs/utils/pty/src/tests.rs (60); codex-rs/file-search/src/lib.rs (49); codex-rs/network-proxy/src/proxy.rs (41); codex-rs/network-proxy-cli/src/main.rs (19); codex-rs/network-proxy/src/lib.rs (18); codex-rs/network-proxy/src/main.rs (14)
